identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
LSB-90016,way,way/731556033,Powerdot,6,0.0,yes,,24/7,Mobi.E,6,22.2,no,0,0.0,22.2,,,,,6,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/5608875987,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,,,,,2,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/12670417614,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,,,,,2,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/12670417615,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,,,,,2,3.7,,,,
VFR-00096,way,way/1208634756,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,50.0,,,,,1,43.0,1,50.0
VFR-00096 / VFR-00096,child_point,child/node/12670369279,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,1,50.0,,,,,1,43.0,1,50.0
VFR-00043,way,way/1211961490,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00043 / VFR-00043,child_point,child/node/12580289957,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00075,way,way/1211961517,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,1,49.0,,,,,1,22.0,1,49.0
VFR-00075 / VFR-00075,child_point,child/node/12583091687,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,1,49.0,,,,,1,22.0,1,49.0
VFR-00053/54,way,way/1219057687,Powerdot,10,444.0,yes,,24/7,Mobi.E,10,734.0,no,0,0.0,444.0,1,50.0,,,2,22.0,,,7,120.0
VFR-00053/54 / VFR-00054,child_point,child/node/12670324390,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00053/54 / VFR-00053,child_point,child/node/12670324391,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,1,50.0,,,,,,,1,80.0
VFR-00053/54 / VFR-00053,child_point,child/node/12670324392,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,,,,,,,,,2,80.0
VFR-00053/54 / VFR-00053,child_point,child/node/12670324393,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,,,,,,,,,2,80.0
VFR-00053/54 / VFR-00053,child_point,child/node/12670324394,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,,,,,,,,,2,120.0
VFR-00060,way,way/1223274019,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00060 / VFR-00060,child_point,child/node/11422613973,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-90002,way,way/1223274020,EDP,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-90002 / VFR-90002,child_point,child/node/12670369281,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00094,way,way/1223274022,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,50.0,,,,,1,43.0,1,50.0
VFR-00094 / VFR-00094,child_point,child/node/12583118820,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,50.0,,,,,1,43.0,1,50.0
VFR-00028,way,way/1223771910,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00028 / VFR-00028,child_point,child/node/12670369280,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00021,way,way/1223815014,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VFR-00021 / VFR-00021,child_point,child/node/12583147551,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
Hotel Nova Cruz,way,way/1224787832,Hotel Nova Cruz,2,0.0,customers,,,,2,14.8,no,0,0.0,14.8,,,,,2,7.4,,,,
Hotel Nova Cruz / node/12580286651,child_point,child/node/12580286651,Hotel Nova Cruz,2,0.0,customers,,,,2,14.8,no,0,0.0,14.8,,,,,2,7.4,,,,
VFR-00003,way,way/1224787833,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,50.0,,,,,1,43.0,1,50.0
VFR-00003 / VFR-00003,child_point,child/node/12580286654,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,50.0,,,,,1,43.0,1,50.0
Loulé Supercharger,way,way/1226019109,Tesla,16,1330.0,yes,,24/7,Tesla,16,4000.0,no,0,0.0,1330.0,,,,,,,,,16,250.0
Loulé Supercharger / 2D,child_point,child/node/8085492053,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,1,250.0
Loulé Supercharger / 1A,child_point,child/node/10901495682,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,1,250.0
Loulé Supercharger / 1B,child_point,child/node/10901495683,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,1,250.0
Loulé Supercharger / 1C,child_point,child/node/10901495684,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,1,250.0
Loulé Supercharger / 1D,child_point,child/node/10901495685,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,1,250.0
Loulé Supercharger / 2A,child_point,child/node/10901495686,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,1,250.0
Loulé Supercharger / 2B,child_point,child/node/10901495687,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,1,250.0
